npoints,time,amount_of_fails,start,end,start_label,end_label
600,37.32518650009297,0,[320  50],[500 150],mudroom,garage
600,34.3459920999594,0,[200 350],[500 150],patio,garage
600,37.66011580009945,0,[50 50],[220 200],br3,living
600,34.83501460007392,0,[220  50],[320 190],study,kitchen
600,39.529763099970296,0,[200 350],[ 50 220],patio,br1
600,36.50732989993412,0,[220 200],[500 150],living,garage
600,37.24803390004672,0,[100 350],[320 190],garden,kitchen
600,36.71141320001334,0,[50 50],[500 150],br3,garage
600,35.98190660006367,0,[100 350],[500 150],garden,garage
600,37.33083190000616,0,[500 350],[50 50],driveway,br3
600,34.62597789999563,0,[500 150],[200 350],garage,patio
600,37.04804309993051,0,[320 280],[120  50],nook,br2
600,35.76637710002251,0,[100 350],[320  50],garden,mudroom
600,35.82193229999393,0,[220 200],[320 190],living,kitchen
600,36.60453180002514,0,[50 50],[220 200],br3,living
600,36.47837779996917,0,[220  50],[500 350],study,driveway
600,72.19308480003383,1,[50 50],[200 350],br3,patio
600,36.71205380000174,0,[320 280],[220 200],nook,living
600,34.998522299923934,0,[50 50],[320  50],br3,mudroom
600,37.70533810008783,0,[120  50],[200 350],br2,patio
600,35.76786979997996,0,[320 280],[100 350],nook,garden
600,36.52124570007436,0,[320 280],[100 350],nook,garden
600,39.00723460002337,0,[320 280],[220 200],nook,living
600,37.035724799963646,0,[500 150],[320 280],garage,nook
600,39.67441940004937,0,[320  50],[500 350],mudroom,driveway
600,36.9403619999066,0,[220  50],[50 50],study,br3
600,36.50093440001365,0,[320 190],[220 200],kitchen,living
600,37.15084619994741,0,[100 350],[320 280],garden,nook
600,36.92612910002936,0,[220 200],[320 190],living,kitchen
600,36.93929080001544,0,[200 350],[500 150],patio,garage
600,35.76845779991709,0,[200 350],[100 350],patio,garden
600,36.15985189995263,0,[320 190],[ 50 220],kitchen,br1
600,38.426515600061975,0,[200 350],[320  50],patio,mudroom
600,37.12093609990552,0,[50 50],[320  50],br3,mudroom
600,35.34848509996664,0,[200 350],[100 350],patio,garden
600,36.86814689997118,0,[220  50],[100 350],study,garden
600,36.40871280001011,0,[120  50],[50 50],br2,br3
600,39.26621389994398,0,[ 50 220],[500 350],br1,driveway
600,35.76990980003029,0,[220 200],[320 280],living,nook
600,34.71672110003419,0,[120  50],[50 50],br2,br3
600,37.70554980007,0,[120  50],[ 50 220],br2,br1
600,36.66495889995713,0,[ 50 220],[500 350],br1,driveway
700,50.08265230001416,0,[320 190],[320 280],kitchen,nook
700,49.67782590002753,0,[120  50],[320 280],br2,nook
700,52.44523549999576,0,[500 350],[ 50 220],driveway,br1
700,50.09056519996375,0,[220 200],[320 280],living,nook
700,49.982826499966905,0,[500 150],[320  50],garage,mudroom
700,50.7296530000167,0,[100 350],[220 200],garden,living
700,49.029708400019445,0,[320 190],[100 350],kitchen,garden
700,48.79547870007809,0,[320  50],[220  50],mudroom,study
700,50.09640869998839,0,[220 200],[500 350],living,driveway
700,98.62248030002229,1,[120  50],[320 190],br2,kitchen
700,50.312081700074486,0,[320 190],[500 150],kitchen,garage
700,50.107683799928054,0,[200 350],[500 350],patio,driveway
700,47.156204300001264,0,[220  50],[320 280],study,nook
700,52.47982910007704,0,[220 200],[200 350],living,patio
700,50.835415399982594,0,[320 190],[220  50],kitchen,study
700,48.615110800019465,0,[200 350],[500 150],patio,garage
700,50.41520070005208,0,[100 350],[220  50],garden,study
700,51.40278520004358,0,[ 50 220],[100 350],br1,garden
700,49.77568550000433,0,[120  50],[100 350],br2,garden
700,48.58141840004828,0,[500 150],[320  50],garage,mudroom
700,50.23829760006629,0,[100 350],[500 350],garden,driveway
700,98.18923310004175,1,[200 350],[320 190],patio,kitchen
700,50.745488699991256,0,[200 350],[100 350],patio,garden
700,50.19323400000576,0,[220  50],[320 190],study,kitchen
700,48.64416040002834,0,[100 350],[500 150],garden,garage
700,52.026129100006074,0,[100 350],[320 190],garden,kitchen
700,49.90501439990476,0,[ 50 220],[320  50],br1,mudroom
700,52.52354610001203,0,[200 350],[500 150],patio,garage
700,49.37677780003287,0,[ 50 220],[220  50],br1,study
700,49.355886599980295,0,[220  50],[500 150],study,garage
700,48.71588119992521,0,[120  50],[500 150],br2,garage
700,49.91679320007097,0,[500 350],[ 50 220],driveway,br1
700,50.072035699966364,0,[500 350],[50 50],driveway,br3
700,49.71110389998648,0,[500 150],[120  50],garage,br2
700,49.66935650003143,0,[220  50],[220 200],study,living
700,49.392287100083195,0,[100 350],[320 190],garden,kitchen
700,49.57076219993178,0,[50 50],[ 50 220],br3,br1
700,50.135584600036964,0,[50 50],[220  50],br3,study
700,50.25073780003004,0,[ 50 220],[50 50],br1,br3
700,49.341660500038415,0,[500 350],[220 200],driveway,living
700,52.20069540000986,0,[120  50],[320 190],br2,kitchen
700,48.97134409996215,0,[50 50],[320  50],br3,mudroom
700,46.115553400013596,0,[120  50],[320 280],br2,nook
700,49.89372139994521,0,[500 150],[50 50],garage,br3
700,49.95610459998716,0,[320  50],[320 280],mudroom,nook
700,50.03996880003251,0,[220 200],[320 190],living,kitchen
700,48.22215739998501,0,[ 50 220],[500 150],br1,garage
700,49.452087500016205,0,[50 50],[100 350],br3,garden
700,48.07021029992029,0,[320 280],[220 200],nook,living
700,48.49207939999178,0,[120  50],[500 350],br2,driveway
800,65.57430039998144,0,[100 350],[320 190],garden,kitchen
800,64.25990249996539,0,[220  50],[50 50],study,br3
800,67.0216113999486,0,[320  50],[120  50],mudroom,br2
800,63.660195200005546,0,[120  50],[500 150],br2,garage
800,66.26226410001982,0,[220  50],[200 350],study,patio
800,68.06584179995116,0,[500 350],[320  50],driveway,mudroom
800,64.43852990004234,0,[320 190],[320  50],kitchen,mudroom
800,64.25377680000383,0,[50 50],[320  50],br3,mudroom
800,62.6816374999471,0,[200 350],[220 200],patio,living
800,67.41579620004632,0,[500 350],[100 350],driveway,garden
800,64.26689420000184,0,[50 50],[220  50],br3,study
800,67.73045769997407,0,[50 50],[220  50],br3,study
800,65.8079617000185,0,[500 350],[220  50],driveway,study
800,61.27233170007821,0,[100 350],[200 350],garden,patio
800,69.40454270003829,0,[220 200],[500 350],living,driveway
800,65.33930920006242,0,[320 280],[220  50],nook,study
800,132.59205570002086,1,[500 150],[220 200],garage,living
800,62.52663169999141,0,[220  50],[100 350],study,garden
800,66.15735659992788,0,[120  50],[200 350],br2,patio
800,64.08434550010134,0,[320 280],[220  50],nook,study
800,63.24647659994662,0,[200 350],[500 350],patio,driveway
800,64.29846130008809,0,[100 350],[500 350],garden,driveway
800,64.8573740000138,0,[120  50],[320 280],br2,nook
800,67.30264070001431,0,[100 350],[50 50],garden,br3
800,64.79931729997043,0,[320 190],[500 350],kitchen,driveway
800,62.59247819997836,0,[50 50],[500 150],br3,garage
800,130.04462749999948,1,[500 350],[100 350],driveway,garden
800,65.12076510000043,0,[120  50],[220 200],br2,living
800,65.7096351000946,0,[320 190],[50 50],kitchen,br3
800,69.11408210010268,0,[220  50],[320  50],study,mudroom
800,64.64777789998334,0,[100 350],[200 350],garden,patio
800,65.20965520001482,0,[100 350],[320 190],garden,kitchen
800,66.72478930000216,0,[50 50],[100 350],br3,garden
800,62.986681499984115,0,[320 190],[320 280],kitchen,nook
800,67.04015979997348,0,[200 350],[ 50 220],patio,br1
